"1528341","-105.12869861","40.55621073","2319","","","","Yorkshire","","",""," ","2319 Yorkshire ","Fort Collins","80526","Larimer"
"1528342","-105.128819","40.55605303","2325","","","","Yorkshire","","",""," ","2325 Yorkshire ","Fort Collins","80526","Larimer"
"1528343","-105.12894527","40.55586856","2401","","","","Yorkshire","","",""," ","2401 Yorkshire ","Fort Collins","80526","Larimer"
"1528344","-105.12788159","40.55611558","2743","","","","Garden","","",""," ","2743 Garden ","Fort Collins","80526","Larimer"
"1528345","-105.12766886","40.55598373","2737","","","","Garden","","",""," ","2737 Garden ","Fort Collins","80526","Larimer"
"1528346","-105.12743076","40.55591566","2731","","","","Garden","","",""," ","2731 Garden ","Fort Collins","80526","Larimer"
"1528347","-105.12710699","40.55590685","2725","","","","Garden","","",""," ","2725 Garden ","Fort Collins","80526","Larimer"
"1528348","-105.12684773","40.55598985","2719","","","","Garden","","",""," ","2719 Garden ","Fort Collins","80526","Larimer"
"1528349","-105.13077186","40.55616983","2920","","","","Pampas","","",""," ","2920 Pampas ","Fort Collins","80526","Larimer"
"1528350","-105.13111459","40.55616926","2926","","","","Pampas","","",""," ","2926 Pampas ","Fort Collins","80526","Larimer"
"1528351","-105.13137213","40.55615175","2403","","","","Compass","","",""," ","2403 Compass ","Fort Collins","80526","Larimer"
"1528352","-105.1314258","40.55589238","2409","","","","Compass","","",""," ","2409 Compass ","Fort Collins","80526","Larimer"
"1528353","-105.13142654","40.55562782","2415","","","","Compass","","",""," ","2415 Compass ","Fort Collins","80526","Larimer"
"1528354","-105.13142705","40.55544118","2421","","","","Compass","","",""," ","2421 Compass ","Fort Collins","80526","Larimer"
"1528355","-105.13142757","40.55525453","2427","","","","Compass","","",""," ","2427 Compass ","Fort Collins","80526","Larimer"
"1528356","-105.13142809","40.55506787","2433","","","","Compass","","",""," ","2433 Compass ","Fort Collins","80526","Larimer"
"1528357","-105.13142861","40.55488122","2439","","","","Compass","","",""," ","2439 Compass ","Fort Collins","80526","Larimer"
"1528358","-105.42906364","40.97806348","1397","","","","Cap Rock","","",""," ","1397 Cap Rock ","Livermore","80536","Larimer"
"1528359","-104.98340759","40.5254642","4328","","","","Dixon","","",""," ","4328 Dixon ","Timnath","80525","Larimer"
"1528360","-104.98340602","40.52567006","4324","","","","Dixon","","",""," ","4324 Dixon ","Timnath","80547","Larimer"
"1528361","-104.98340445","40.52587593","4320","","","","Dixon","","",""," ","4320 Dixon ","Timnath","80547","Larimer"
"1528362","-104.98277967","40.52525553","4333","","","","Main","","",""," ","4333 Main ","Timnath","80547","Larimer"
"1528363","-104.98278124","40.52504966","4401","","","","Main","","",""," ","4401 Main ","Timnath","80547","Larimer"
"1528364","-104.98278282","40.52484379","4405","","","","Main","","",""," ","4405 Main ","Timnath","80547","Larimer"
"1528365","-104.98278591","40.52443912","4409","","","","Main","","",""," ","4409 Main ","Timnath","80547","Larimer"
"1528366","-105.20564089","40.47675986","8115","","","","Firethorn","","",""," ","8115 Firethorn ","Loveland","80538","Larimer"
"1528367","-105.13806636","40.40952978","1501","","","","Cliff Side","","",""," ","1501 Cliff Side ","Loveland","80538","Larimer"
"1528368","-105.06259419","40.39166607","1155","","","","2Nd","Street","South East",""," ","1155 2Nd Street South East ","Loveland","80537","Larimer"
"1528369","-105.0624254","40.39183821","1167","","","","Raven","","",""," ","1167 Raven ","Loveland","80537","Larimer"
