200077,001-005621-346600,NULL,-104.90943616,39.79869783,5621,NULL, ,NULL,Bowen,Court,NULL,NULL, ,5621 Bowen Court ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010CFC3FB933343A5AC0409E01BB3BE64340
200078,001-005800-346601,NULL,-104.92008189,39.80132418,5800,NULL,East,NULL,58Th,Avenue,NULL,NULL, ,5800 East 58Th Avenue ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010C64B9259FE23A5AC018E375CA91E64340
200079,001-005433-346602,NULL,-104.91021325,39.79516678,5433,NULL, ,NULL,Newport,Street,NULL,NULL, ,5433 Newport Street ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010CB04813EF403A5AC0D8BE5E06C8E54340
200080,001-005581-346603,NULL,-104.91604751,39.79792846,5581,NULL, ,NULL,Leyden,Street,NULL,NULL, ,5581 Leyden Street ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010CD067BE85A03A5AC0406B148522E64340
200081,001-006101-346604,NULL,-104.91721043,39.81315716,6101,NULL,East,NULL,64Th,Avenue,NULL,NULL, ,6101 East 64Th Avenue ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010C3C526393B33A5AC0B05AA88815E84340
200082,001-006700-346605,NULL,-104.91476010,39.81863200,6700,NULL, ,NULL,Leyden,Street,NULL,NULL, ,6700 Leyden Street ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010CC05EF36D8B3A5AC0D051FAEEC8E84340
200083,001-006455-346606,NULL,-104.91424536,39.79896802,6455,NULL,East,NULL,56Th,Avenue,NULL,NULL, ,6455 East 56Th Avenue ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010C90B9FCFE823A5AC020858A9544E64340
200084,001-006295-346607,NULL,-104.91574059,39.79886821,6295,NULL,East,NULL,56Th,Avenue,NULL,NULL, ,6295 East 56Th Avenue ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010CDC6A6B7E9B3A5AC0582D465041E64340
200085,001-005658-346608,NULL,-104.92107733,39.80123991,5658,NULL,East,NULL,58Th,Avenue,NULL,NULL, ,5658 East 58Th Avenue ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010C542351EEF23A5AC0A8708D078FE64340
200086,001-005658-346609,NULL,-104.92047728,39.80148169,5658,NULL,East,NULL,58Th,Avenue,NULL,NULL, ,5658 East 58Th Avenue ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010C88CC8C19E93A5AC05809C0F396E64340
